Name,Latitude,Longitude,Navigate
"Al-masjad Alkabeer
",32.4852796,35.2303093,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.4852796%2C35.2303093
"مسجد المصورة
",31.2531025,34.2636942,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.2531025%2C34.2636942
