Name,Latitude,Longitude,Navigate
"Sahabet Rasol Allah Mosque
",31.5122135,35.0870842,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5122135%2C35.0870842
"Beit Makdoom Mosque
",31.5344147,34.9694713,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5344147%2C34.9694713
"مسجد عبدالله السعيد
",31.550713,35.0954568,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.550713%2C35.0954568
"Ali Ben Abe Taleb Mosque
",31.4071336,34.9759794,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.4071336%2C34.9759794
"Hamaza Bin Abd Al Motaleb Mosque
",31.5869256,35.1474356,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5869256%2C35.1474356
"Al-Atqia' Mosque
",31.5304237,35.0980796,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5304237%2C35.0980796
"Al-Ruba'ian Mosque
",31.4532084,35.1046068,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.4532084%2C35.1046068
"مسجد الشهداء
",31.4475272,35.0963296,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.4475272%2C35.0963296
"Al-Salam Mosque
",31.4457173,35.0897327,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.4457173%2C35.0897327
"Rojeeb
",32.1901091,35.293161,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.1901091%2C35.293161
"Dar Al Quran Al Karem
",32.152366,35.2570787,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.152366%2C35.2570787
"Owais Bin Amir
",32.1302743,35.344287,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.1302743%2C35.344287
"مسجد العابدين
",31.5294492,35.0961255,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5294492%2C35.0961255
"Mosque
",32.1271838,35.344789,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.1271838%2C35.344789
"مسجد السيدة عائشه
",32.2298237,35.2565672,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2298237%2C35.2565672
"Al Awkaf Mosque
",32.224439,35.2466955,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.224439%2C35.2466955
"Dar Al Quran Al Karem
",32.1025814,35.2868302,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.1025814%2C35.2868302
"Ibn Al Ommah
",32.2180563,35.2899555,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2180563%2C35.2899555
"Al Imam Al Shaf'i
",32.2066829,35.2820464,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2066829%2C35.2820464
"Abo Zar Al Ghofari
",32.2198582,35.2702025,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2198582%2C35.2702025
"Eiz Alden Alqasam
",32.209466,35.3319153,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.209466%2C35.3319153
"Al Da'wa Mosque
",31.4520758,35.110175,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.4520758%2C35.110175
"Al Rahman
",32.2245452,35.2205389,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2245452%2C35.2205389
"Al Rahmah Mosque
",31.5773559,35.1476658,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5773559%2C35.1476658
"Omar Bin Al Khatab
",32.1907723,35.2947186,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.1907723%2C35.2947186
"Mousab Bin Omair
",32.2201866,35.2963689,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2201866%2C35.2963689
"Iraq Bourin
",32.2021659,35.2382781,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2021659%2C35.2382781
"Darwazeh
",32.2349444,35.2463971,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2349444%2C35.2463971
"Al Rashdeen Mosque
",31.5496914,35.1079572,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5496914%2C35.1079572
