X,Y,osm_id,code,fclass,name
35.4562001,31.856279,"432338446","3100",christian,كنيسة
35.471074,31.9463241,"432338859","3301",muslim_sunni,
35.4903018,31.8386545,"432339003","3301",muslim_sunni,Al Sheikh Ismael Al Jamal Mosque
35.4652615,31.9429302,"432339032","3301",muslim_sunni,Mosque
35.4370084,32.0325889,"432339742","3301",muslim_sunni,Fasayel Mosque
35.4402116,31.842702,"432340551","3301",muslim_sunni,Mosque
35.4508911,31.8598122,"432341767","3106",christian_orthodox,كنيسة راميكس
35.4374204,31.8611886,"432342566","3301",muslim_sunni,مسجد المرابطين
35.4366937,31.8438447,"432343217","3301",muslim_sunni,Mosque
35.4497516,31.8612213,"432343652","3300",muslim,مسجد عمر بن الخطاب
35.4576461,31.9469602,"432343964","3301",muslim_sunni,Mosque
35.4525387,31.8818731,"432344092","3300",muslim,مسجد الدعوة
35.4616203,31.854578,"432344296","3301",muslim_sunni,Jericho's Old Mosque
35.4334295,31.8910699,"432344377","3301",muslim_sunni,Al Nwa'meh Mosque
35.4421133,31.8340747,"432344760","3300",muslim,مسجد عقبة جبر
35.2382464,32.1091739,"432345234","3300",muslim,Al Haj Hasan Khadir Hasan
35.2333629,32.1048179,"432345518","3300",muslim,Ali Bin Abi Talib
35.2389071,32.1099347,"432345519","3300",muslim,Abu Bakir
35.1020463,32.1217378,"432345689","3301",muslim_sunni,Mosque
35.1387791,32.1310979,"432346437","3301",muslim_sunni,Deir Istiya Small Mosque
35.0426781,32.0785741,"432346578","3300",muslim,Awlia' Allah
35.1397736,32.1135576,"432347055","3301",muslim_sunni,Haris
35.1400078,32.1299609,"432347231","3301",muslim_sunni,Deir Istiya Big Mosque
35.0796525,32.0703346,"432347340","3301",muslim_sunni,Al Ber Wel Ihsan
35.0755385,32.1134969,"432348466","3301",muslim_sunni,Beddia Big Mosque
35.177358,32.0837644,"432348556","3300",muslim,Al Shuhada'
35.1577173,32.1183773,"432349247","3300",muslim,Kafil Harith
35.0907285,32.1042176,"432349467","3301",muslim_sunni,Dar Al Quran
35.1937695,32.1127182,"432349555","3301",muslim_sunni,Marwa
35.1407973,32.1308829,"432349671","3301",muslim_sunni,Deir Istiya
35.1703475,32.0911996,"432350181","3300",muslim,مصلى قوات الأمن الوطني الفلسطيني
35.1785992,32.090077,"432350253","3300",muslim,Abd Al Nasir lablisi
35.0977727,32.1169887,"432350528","3301",muslim_sunni,Qarawat Bani Hassan
35.0453366,32.0990794,"432350531","3300",muslim,Mosque
35.0272322,32.0635384,"432351322","3300",muslim,The New Mosque
35.1867854,32.084125,"432351419","3301",muslim_sunni,مسجد الصحابة
35.0397755,32.0963318,"432352001","3300",muslim,The Big Mosque
35.0997981,32.1277444,"432352493","3301",muslim_sunni,Qarawat Bani Hassan Big Mosque
35.1511313,32.0700483,"432352553","3301",muslim_sunni,Farkha Mosque
35.0202267,32.0666817,"432352573","3300",muslim,New Mosque
35.0841007,32.0648951,"432352583","3301",muslim_sunni,Kafr Al Deek
35.0995332,32.1295104,"432352612","3301",muslim_sunni,Al Shohada'
35.178221,32.0818602,"432353033","3300",muslim,مسجد سلفيت الكبير
35.1713211,32.0891407,"432353334","3300",muslim,مسجد الأبرار
35.1847481,32.1374788,"432353686","3300",muslim,Big Mosque
35.1780591,32.0620507,"432353913","3301",muslim_sunni,Khirbet Qeis
35.127566,32.316787,"432355552","3301",muslim_sunni,Mosque
35.0426514,32.2272847,"432355829","3301",muslim_sunni,Al Faroq Mosque
35.0259807,32.0647969,"432356223","3301",muslim_sunni,Omar Bin Al Khatab
35.2253461,32.1038034,"432356538","3300",muslim,Al Imam Al Dahabi
35.1711401,32.1221962,"432356624","3300",muslim,Mosque
35.108448,32.3696611,"432356814","3301",muslim_sunni,Al Qassam Al Kadim
35.0509838,32.1080796,"432357728","3301",muslim_sunni,Masha Mosque
35.1423778,32.1150973,"432357917","3301",muslim_sunni,Haris
35.0506376,32.1069674,"432358401","3301",muslim_sunni,Masha New Masged
35.1091139,32.3331171,"432358484","3301",muslim_sunni,Al Balad
35.0279795,32.3061003,"432358996","3301",muslim_sunni,Salah Al Din
35.0365803,32.0951527,"432359014","3300",muslim,Omar Bin Al Khatab
35.1013573,32.1232006,"432359775","3301",muslim_sunni,Dar Al Quran Al Karim
35.0889844,32.1153956,"432360647","3301",muslim_sunni,Mosque
35.0449804,32.0779642,"432360869","3300",muslim,Yahia Ayash
35.1091765,32.3737448,"432362791","3301",muslim_sunni,Abu Bakik
35.1262366,32.3038702,"432364703","3301",muslim_sunni,Omar Bin Al Khatab Mosque
35.0393726,32.3183896,"432364725","3300",muslim,Al Firdaws Mosque
35.1074514,32.3713134,"432367592","3301",muslim_sunni,Salah Al Din
35.0515722,32.3855034,"432368217","3301",muslim_sunni,Zita Mosque
35.0359383,32.3335337,"432369685","3301",muslim_sunni,Mosque
35.1193973,32.3853285,"432370104","3301",muslim_sunni,Omar Ibn Elkhatab
35.0242713,32.3032819,"432370427","3301",muslim_sunni,مسجد القسام
35.1487933,32.2852303,"432370837","3301",muslim_sunni,Ramin Big Mosque
35.0716816,32.4109944,"432371595","3301",muslim_sunni,Ali Mosque
35.0841787,32.427993,"432371976","3301",muslim_sunni,Al Imam Ali Mosque
35.1301851,32.2631446,"432372827","3301",muslim_sunni,Al Zahra' Mosque
35.0255176,32.325605,"432373536","3301",muslim_sunni,Al Aqsa Mosque
35.0528558,32.3257356,"432373794","3301",muslim_sunni,Ktaba Old Mosque
35.0293114,32.3196649,"432375162","3300",muslim,Mosque
35.0732691,32.363547,"432376221","3301",muslim_sunni,Omar Mosque
35.0378284,32.328873,"432377692","3301",muslim_sunni,Al Foqaha'
35.0595271,32.3209909,"432378039","3301",muslim_sunni,Omar Bin Al Khatab
35.0722634,32.3694366,"432378647","3301",muslim_sunni,Mosque
35.1099099,32.2614398,"432381022","3301",muslim_sunni,Safarin New Mosque
35.0673283,32.3738985,"432382345","3301",muslim_sunni,Abu Obaida
35.0673918,32.3845105,"432382382","3301",muslim_sunni,Mosque
35.052216,32.3268666,"432383573","3301",muslim_sunni,Al Rashiden Mosque
35.0764749,32.3521083,"432384886","3301",muslim_sunni,Dair Al Ghson Mosque
35.0725779,32.3679898,"432385193","3301",muslim_sunni,Tariq Bin Ziad
35.0855977,32.2243248,"432386634","3301",muslim_sunni,Kufr Aboush
35.0349402,32.3362319,"432386639","3301",muslim_sunni,Shwaikeh Mosque
35.0285084,32.28865,"432387767","3301",muslim_sunni,Mosque
35.1332518,32.2598579,"432388421","3301",muslim_sunni,Bait Lid Mosque
35.1072121,32.4110913,"432390084","3301",muslim_sunni,Al Nazlah Al Sharkiah Mosque
35.1307985,32.2617626,"432391766","3301",muslim_sunni,Old Mosque
35.0564016,32.3258645,"432392376","3301",muslim_sunni,Al Rahman Mosque
