עיר,שם,נוסח,כתובת
אשדוד,אהל יעקב,ספרד,המעפילים  39
אשדוד,אוהל אהרון וחנה,עדות המזרח,הצבעוני  2
אשדוד,אור יצחק- נוסח גרוזיה,עדות המזרח,הציונות 10
אשדוד,"אחוות ישראל אשדוד ע""ש ר' מאיר אבוחצירא",מרוקו,כנרת 67
אשקלון,"""משכן אביחי """,תימן בלדי,לכיש 16
אשקלון,אביר יעקב יאיר,עדות המזרח,הרב כלפון משה הכהן  5
אשקלון,אהבת אחים,עדות המזרח,הציונות 72 72
אשקלון,אהבת ציון,תימן שאמי,אבן עזרא  6
אשקלון,אהבת תורה,עדות המזרח, 11
אשקלון,אוהל משה,עדות המזרח,ההסיתדרות 98
אשקלון,בית אליהו,עדות המזרח,הטייסים 91
אשקלון,בית הכנסת המרכזי אפרידר,אשכנז,זונאבנדר 2
אשקלון,בית הכנסת לצעירים סניף בני עקיבא אפרידר,עדות המזרח,אורט 13
אשקלון,בית הרב,עדות המזרח,חוגלה 9
אשקלון,בני ציון,יוצאי לוב (טריפוליטאים),ביאליק 12
אשקלון,בני תורה,עדות המזרח,שי עגנון 10 10
אשתאול,נצח ישראל,תימן שאמי,נחל אדוריים 49
באר יעקב,"""אהל מיכאל-רשב""י"" ",מרוקו,רחוב חזון איש 4
באר יעקב,ברקת,עדות המזרח,שכונת צמרות
באר יעקב,חזון איש מנין עמוס,ירושלמי,חזון איש 8
באר שבע,"""אוהל שרה""",,צביה ויצחק  46
באר שבע,אהבה ואחוה,ירושלמי,כיכר הקינזי 3
באר שבע,אהבת חנה,עדות המזרח,מקס ברוייד14
באר שבע,אוהל יעקב ליוצאי קווקז,,אבנר בן נר 6
באר שבע,אוהל רחל,אשכנז,אילה 5
באר שבע,אור שלום,מרוקו,רזיאל 7
באר שבע,אורות הזוהר,מרוקו,חשין 13
באר שבע,"אליהו הנביא זל""ט ( נוסח בגדד )",עדות המזרח,השומר
באר שבע,באר הגאולה,"חב""ד",גויטיין 9
בארי,שערי צדק,ספרד,בארי 58
בית אל,אוהל חיים,עדות המזרח,ארץ חמדה 22
בית אל,כולל מבקשי השם,לפי החזן,חלמיש 2
בית אל,משכן בית-אל,לפי החזן,התאנה 7
בית אליעזר,בית יצחק,ספרד,גדות  2
בית אליעזר,נצח ישראל,תימן,התאנים 13
בית דגן,אוהל תורה,תימן בלדי,טרומפלדור 14
בית דגן,אלי כהן,מרוקו,הגפן 5
בית דגן,ברסלב,עדות המזרח,קפלן 14
בית דגן,מנחת שלמה,תימן בלדי,כצנלסון 16
בית חנניה,בית הכנסת מושב בית חנניה,לפי החזן,חלמיש 1
בית שאן,היכל דוד ושלמה- חנוך לנער,ספרד,שאול המלך 96
בית שאן,זוהר התורה,ספרד,הלורד בלפור 26
בית שאן,ישראלי,ספרד,אלי כהן 98
בית שאן,שערי דניאל - חידושי משה,עדות המזרח,העלייה (שכון א) 8
בית שמש,אדרת אליהו,עדות המזרח,קרן היסוד 4
בית שמש,אהבה ושמחה - קרליבך,ספרד,נחל דולב 70
בית שמש,אהבת יהונתן־אז ישיר,אשכנז,נחל לכיש 3
בית שמש,אהבת ציון,אשכנז,נחל תמנה 2
בית שמש,אהבת שלום,אשכנז,נחל לכיש 33
בית שמש,אור החמה,עדות המזרח,המשלט 12
בית שמש,אור שלום,,נחל מאור 27
בית שמש,אחדות ישראל,עדות המזרח,בר אילן  74
בית שמש,אש קודש,ספרד,נחל מאוד  6
בית שמש,בית אסתר,עדות המזרח,הנורית 39
